Season,Injury,Days,Games missed,player_name,player_age,player_position,club,league,salary_eur,salary_daily_eur,injury_cost_eur
22/23,Ligament injury,64,6,Yannick Gerhardt,29,Central Midfield,Wolfsburg,Bundesliga,3000000.0,8219.17808219178,526027.3972602739
22/23,Muscle strain,17,3,Kevin Paredes,20,Left Midfield,Wolfsburg,Bundesliga,1016600.0,2785.205479452055,47348.49315068493
22/23,Calf problems,69,8,Kevin Paredes,20,Left Midfield,Wolfsburg,Bundesliga,1016600.0,2785.205479452055,192179.1780821918
22/23,Head injury,10,3,Josip Brekalo,25,Left Winger,Wolfsburg,Bundesliga,1787532.0,4897.34794520548,48973.4794520548
22/23,muscular problems,5,2,Josip Brekalo,25,Left Winger,Wolfsburg,Bundesliga,1787532.0,4897.34794520548,24486.7397260274
22/23,Ankle injury,8,1,Patrick Wimmer,22,Right Winger,Wolfsburg,Bundesliga,1664000.0,4558.904109589041,36471.232876712325
22/23,concussion,32,4,Patrick Wimmer,22,Right Winger,Wolfsburg,Bundesliga,1664000.0,4558.904109589041,145884.9315068493
22/23,Torn muscle fiber,62,9,Max Kruse,35,Second Striker,Wolfsburg,Bundesliga,3875119.0,10616.764383561644,658239.391780822
22/23,muscular problems,6,1,Jonas Wind,24,Forward,Wolfsburg,Bundesliga,2013159.0,5515.504109589041,33093.024657534246
22/23,Hamstring injury,54,9,Jonas Wind,24,Forward,Wolfsburg,Bundesliga,2013159.0,5515.504109589041,297837.22191780823
22/23,Back problems,26,6,Robin Zentner,28,Goalkeeper,Mainz,Bundesliga,1375400.0,3768.219178082192,97973.698630137
22/23,stomach problems,8,1,Dominik Kohr,29,Centre-Back,Mainz,Bundesliga,1200000.0,3287.671232876712,26301.369863013697
22/23,Hamstring injury,8,1,Maxim Leitsch,25,Centre-Back,Mainz,Bundesliga,956800.0,2621.3698630136987,20970.95890410959
22/23,minor knock,8,2,Stefan Bell,31,Centre-Back,Mainz,Bundesliga,954173.0,2614.1726027397262,20913.38082191781
22/23,Pubic bone irritation,54,6,Danny da Costa,29,Centre-Back,Mainz,Bundesliga,1248000.0,3419.178082191781,184635.61643835617
22/23,Ankle injury,154,15,Silvan Widmer,30,Right-Back,Mainz,Bundesliga,1435200.0,3932.054794520548,605536.4383561644
22/23,Torn muscle fiber,11,2,Silvan Widmer,30,Right-Back,Mainz,Bundesliga,1435200.0,3932.054794520548,43252.602739726026
22/23,Hip problems,8,1,Anton Stach,24,Defensive Midfield,Mainz,Bundesliga,1016600.0,2785.205479452055,22281.64383561644
22/23,Ankle sprain,21,3,Delano Burgzorg,24,Left Winger,Mainz,Bundesliga,897000.0,2457.5342465753424,51608.21917808219
22/23,Knee surgery,312,35,Jonathan Burkardt,22,Forward,Mainz,Bundesliga,1495000.0,4095.890410958904,1277917.808219178
22/23,flesh wound,18,3,Jonathan Burkardt,22,Forward,Mainz,Bundesliga,1495000.0,4095.890410958904,73726.02739726027
22/23,Hamstring injury,15,2,Jonathan Burkardt,22,Forward,Mainz,Bundesliga,1495000.0,4095.890410958904,61438.35616438356
22/23,Ankle problems,15,1,Marcus Ingvartsen,27,Forward,Mainz,Bundesliga,1196000.0,3276.7123287671234,49150.68493150685
22/23,Ligament injury,25,3,Marcus Ingvartsen,27,Forward,Mainz,Bundesliga,1196000.0,3276.7123287671234,81917.80821917808
22/23,Knee problems,16,2,Karim Onisiwo,31,Forward,Mainz,Bundesliga,1252234.0,3430.778082191781,54892.449315068494
22/23,Foot injury,17,2,Karim Onisiwo,31,Forward,Mainz,Bundesliga,1252234.0,3430.778082191781,58323.22739726028
22/23,Thumb injury,5,1,Jan Olschowsky,21,Goalkeeper,Borussia MÃ¶nchengladbach,Bundesliga,362137.0,992.1561643835616,4960.780821917808
22/23,laceration,5,1,Tobias Sippel,35,Goalkeeper,Borussia MÃ¶nchengladbach,Bundesliga,476844.0,1306.4219178082192,6532.109589041096
22/23,Tendonitis,15,2,Tobias Sippel,35,Goalkeeper,Borussia MÃ¶nchengladbach,Bundesliga,476844.0,1306.4219178082192,19596.328767123287
22/23,Acromioclavicular joint dislocation,15,1,Tobias Sippel,35,Goalkeeper,Borussia MÃ¶nchengladbach,Bundesliga,476844.0,1306.4219178082192,19596.328767123287
22/23,Hip injury,9,1,Ramy Bensebaini,28,Centre-Back,Borussia MÃ¶nchengladbach,Bundesliga,2870400.0,7864.109589041096,70776.98630136986
22/23,Hamstring injury,8,1,Ramy Bensebaini,28,Centre-Back,Borussia MÃ¶nchengladbach,Bundesliga,2870400.0,7864.109589041096,62912.87671232877
22/23,Overstretching,11,1,Nico Elvedi,26,Centre-Back,Borussia MÃ¶nchengladbach,Bundesliga,1727291.0,4732.304109589041,52055.345205479454
22/23,Inner knee ligament tear,59,11,Ko Itakura,26,Centre-Back,Borussia MÃ¶nchengladbach,Bundesliga,1495000.0,4095.890410958904,241657.5342465753
22/23,Torn muscle fiber,18,2,Marvin Friedrich,27,Centre-Back,Borussia MÃ¶nchengladbach,Bundesliga,2392000.0,6553.424657534247,117961.64383561644
22/23,Thigh problems,6,1,Luca Netz,20,Left-Back,Borussia MÃ¶nchengladbach,Bundesliga,1973400.0,5406.575342465753,32439.45205479452
22/23,Inflammation in the knee,18,2,Stefan Lainer,30,Right-Back,Borussia MÃ¶nchengladbach,Bundesliga,2332200.0,6389.58904109589,115012.60273972602
22/23,Meniscus tear,43,5,Tony Jantschke,33,Right-Back,Borussia MÃ¶nchengladbach,Bundesliga,1976000.0,5413.698630136986,232789.0410958904
22/23,Thigh problems,4,1,Tony Jantschke,33,Right-Back,Borussia MÃ¶nchengladbach,Bundesliga,1976000.0,5413.698630136986,21654.794520547945
22/23,Knock,8,1,Tony Jantschke,33,Right-Back,Borussia MÃ¶nchengladbach,Bundesliga,1976000.0,5413.698630136986,43309.58904109589
22/23,Syndesmosis ligament tear,49,5,Julian Weigl,27,Defensive Midfield,Borussia MÃ¶nchengladbach,Bundesliga,3302625.0,9048.287671232876,443366.0958904109
22/23,muscular problems,10,1,Christoph Kramer,32,Defensive Midfield,Borussia MÃ¶nchengladbach,Bundesliga,3573707.0,9790.97808219178,97909.7808219178
22/23,Torn lateral ankle ligament,11,2,Christoph Kramer,32,Defensive Midfield,Borussia MÃ¶nchengladbach,Bundesliga,3573707.0,9790.97808219178,107700.7589041096
22/23,Partial damage to the cruciate ligament,92,10,Florian Neuhaus,26,Central Midfield,Borussia MÃ¶nchengladbach,Bundesliga,3109600.0,8519.452054794521,783789.5890410959
22/23,Acromioclavicular joint dislocation,15,2,Jonas Hofmann,30,Attacking Midfield,Borussia MÃ¶nchengladbach,Bundesliga,3933966.0,10777.98904109589,161669.83561643836
22/23,Hamstring injury,18,2,Lars Stindl,34,Attacking Midfield,Borussia MÃ¶nchengladbach,Bundesliga,1500000.0,4109.58904109589,73972.60273972602
22/23,Torn lateral ankle ligament,25,4,Yvandro Borges Sanches,19,Left Winger,Borussia MÃ¶nchengladbach,Bundesliga,275600.0,755.068493150685,18876.712328767124
22/23,Tendon irritation,21,2,Yvandro Borges Sanches,19,Left Winger,Borussia MÃ¶nchengladbach,Bundesliga,275600.0,755.068493150685,15856.438356164384
22/23,muscular problems,8,1,Yvandro Borges Sanches,19,Left Winger,Borussia MÃ¶nchengladbach,Bundesliga,275600.0,755.068493150685,6040.54794520548
22/23,Shoulder injury,85,9,Hannes Wolf,24,Right Winger,Borussia MÃ¶nchengladbach,Bundesliga,2033200.0,5570.41095890411,473484.93150684936
22/23,Hamstring injury,18,1,Hannes Wolf,24,Right Winger,Borussia MÃ¶nchengladbach,Bundesliga,2033200.0,5570.41095890411,100267.39726027398
22/23,Torn muscle fiber,19,2,Marcus Thuram,25,Forward,Borussia MÃ¶nchengladbach,Bundesliga,4903600.0,13434.520547945203,255255.8904109589
22/23,Knee problems,10,1,Marcus Thuram,25,Forward,Borussia MÃ¶nchengladbach,Bundesliga,4903600.0,13434.520547945203,134345.20547945204
22/23,Torn muscle fiber in the adductor area,22,2,Alassane Pléa,30,Forward,Borussia MÃ¶nchengladbach,Bundesliga,3647800.0,9993.972602739726,219867.397260274
22/23,minor knock,8,3,Timo Hübers,26,Centre-Back,KÃ¶ln,Bundesliga,215280.0,589.8082191780821,4718.465753424657
22/23,Torn muscle bundle,64,10,Luca Kilian,23,Centre-Back,KÃ¶ln,Bundesliga,299000.0,819.1780821917808,52427.39726027397
22/23,open wound,15,4,Jonas Hector,33,Left-Back,KÃ¶ln,Bundesliga,3438000.0,9419.17808219178,141287.6712328767
22/23,Muscle injury,73,10,Kristian Pedersen,28,Left-Back,KÃ¶ln,Bundesliga,777400.0,2129.8630136986303,155480.0
22/23,Cruciate ligament tear,212,21,Kingsley Ehizibue,28,Right-Back,KÃ¶ln,Bundesliga,1000000.0,2739.72602739726,580821.9178082192
22/23,Broken cheekbone,4,1,Ellyes Skhiri,28,Defensive Midfield,KÃ¶ln,Bundesliga,1614600.0,4423.561643835616,17694.246575342466
22/23,Knee medial ligament tear,83,11,Dejan Ljubicic,25,Defensive Midfield,KÃ¶ln,Bundesliga,676000.0,1852.054794520548,153720.5479452055
22/23,Ankle injury,11,2,Benno Schmitz,28,Defensive Midfield,KÃ¶ln,Bundesliga,728000.0,1994.5205479452052,21939.72602739726
22/23,Ankle injury,64,15,Mathias Olesen,22,Defensive Midfield,KÃ¶ln,Bundesliga,173420.0,475.1232876712329,30407.890410958906
22/23,Cruciate ligament injury,87,7,Ondrej Duda,28,Central Midfield,KÃ¶ln,Bundesliga,953800.0,2613.150684931507,227344.1095890411
22/23,Knee injury,110,12,Jan Thielmann,21,Right Winger,KÃ¶ln,Bundesliga,717600.0,1966.027397260274,216263.01369863012
22/23,Muscle injury,38,6,Jan Thielmann,21,Right Winger,KÃ¶ln,Bundesliga,717600.0,1966.027397260274,74709.04109589041
22/23,Muscle injury,18,2,Jan Thielmann,21,Right Winger,KÃ¶ln,Bundesliga,717600.0,1966.027397260274,35388.49315068493
22/23,Shoulder injury,86,2,Steffen Tigges,24,Forward,KÃ¶ln,Bundesliga,514280.0,1408.986301369863,121172.82191780822
22/23,Inflammation of pubic bone,198,19,Mark Uth,31,Forward,KÃ¶ln,Bundesliga,1728630.0,4735.972602739726,937722.575342466
22/23,Pubic bone irritation,46,4,Mark Uth,31,Forward,KÃ¶ln,Bundesliga,1728630.0,4735.972602739726,217854.73972602744
22/23,Ankle injury,73,14,Tim Lemperle,21,Forward,KÃ¶ln,Bundesliga,155480.0,425.972602739726,31096.0
22/23,Fitness,73,6,Florian Dietz,24,Forward,KÃ¶ln,Bundesliga,1315600.0,3604.383561643836,263120.0
22/23,Cruciate ligament tear,170,17,Florian Dietz,24,Forward,KÃ¶ln,Bundesliga,1315600.0,3604.383561643836,612745.205479452
22/23,minor knock,5,1,Florian Dietz,24,Forward,KÃ¶ln,Bundesliga,1315600.0,3604.383561643836,18021.91780821918
22/23,Hip problems,13,2,Stanley Nsoki,24,Centre-Back,Hoffenheim,Bundesliga,1076400.0,2949.041095890411,38337.53424657534
22/23,Muscle injury,29,4,Stanley Nsoki,24,Centre-Back,Hoffenheim,Bundesliga,1076400.0,2949.041095890411,85522.19178082192
22/23,Thigh problems,3,1,Kevin Akpoguma,28,Centre-Back,Hoffenheim,Bundesliga,1016600.0,2785.205479452055,8355.616438356165
22/23,Knee surgery,56,4,Kevin Vogt,31,Centre-Back,Hoffenheim,Bundesliga,2265114.0,6205.791780821918,347524.3397260274
22/23,Knee problems,12,2,Kevin Vogt,31,Centre-Back,Hoffenheim,Bundesliga,2265114.0,6205.791780821918,74469.50136986302
22/23,Knee problems,11,2,Kevin Vogt,31,Centre-Back,Hoffenheim,Bundesliga,2265114.0,6205.791780821918,68263.7095890411
22/23,Adductor injury,7,1,Kevin Vogt,31,Centre-Back,Hoffenheim,Bundesliga,2265114.0,6205.791780821918,43440.542465753424
22/23,Hamstring injury,63,5,Pavel Kaderabek,31,Right-Back,Hoffenheim,Bundesliga,1907850.0,5226.986301369863,329300.1369863014
22/23,Torn muscle fiber,17,4,Pavel Kaderabek,31,Right-Back,Hoffenheim,Bundesliga,1907850.0,5226.986301369863,88858.76712328767
22/23,Knee problems,10,1,Angelo Stiller,22,Defensive Midfield,Hoffenheim,Bundesliga,956800.0,2621.3698630136987,26213.698630136987
22/23,Pelvic contusion,7,1,Angelo Stiller,22,Defensive Midfield,Hoffenheim,Bundesliga,956800.0,2621.3698630136987,18349.58904109589
22/23,Ligament tear,22,3,Angelo Stiller,22,Defensive Midfield,Hoffenheim,Bundesliga,956800.0,2621.3698630136987,57670.13698630137
22/23,Thigh problems,8,1,Sebastian Rudy,33,Defensive Midfield,Hoffenheim,Bundesliga,3815069.0,10452.243835616438,83617.95068493151
22/23,Broken ankle,151,14,Grischa Prömel,28,Central Midfield,Hoffenheim,Bundesliga,717600.0,1966.027397260274,296870.1369863014
22/23,Ankle injury,15,2,Tom Bischof,18,Central Midfield,Hoffenheim,Bundesliga,91331.0,250.2219178082192,3753.328767123288
